"","quarter","down","yards_to_go","play_type","offensive_formation","offensive_personnel","defenders_in_box","pass_rushers","defensive_personnel","dropback_type","absolute_yardline","play_result","score_diff","side","time_remaining","close_game","penalty","dbs","epa_bi","pass_result"
"1","1","1",15,"play_type_pass","I_FORM","2 RB, 1 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",90,10,0,"other",70,"0","0",5,"1","C"
"2","1","1",10,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",49,0,0,"own",68.1666666666667,"0","0",5,"0","I"
"3","1","2",10,"play_type_pass","SHOTGUN","2 RB, 1 TE, 2 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",49,0,0,"own",68.0833333333333,"0","0",5,"0","I"
"4","1","3",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 1 LB, 6 DB","SCRAMBLE_ROLLOUT_LEFT",49,33,0,"own",68.0166666666667,"0","0",6,"1","C"
"5","1","3",1,"play_type_pass","SHOTGUN","2 RB, 3 TE, 0 WR",8,6,"6 DL, 3 LB, 2 DB","TRADITIONAL",11,0,0,"own",65.9833333333333,"0","0",2,"0","I"
"6","1","2",8,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",14,4,0,"other",65.1666666666667,"0","0",5,"0","C"
"7","1","3",4,"play_type_pass","EMPTY","1 RB, 2 TE, 2 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",18,0,0,"other",64.4,"0","0",5,"0","I"
"8","1","1",10,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","SCRAMBLE_ROLLOUT_LEFT",54,0,0,"own",64.1333333333333,"0","0",5,"0","I"
"9","1","2",13,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",8,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",46,26,0,"own",62.0166666666667,"0","0",5,"1","C"
"10","1","1",10,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",8,3,"4 DL, 2 LB, 5 DB","DESIGNED_ROLLOUT_LEFT",20,3,0,"own",61.3166666666667,"0","0",5,"1","C"
